0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	2
108	3
109	3
110	3
111	4
112	4
113	3
114	3
115	3
116	3
117	3
118	4
119	5
120	6
121	6
122	7
123	7
124	7
125	8
126	8
127	8
128	6
129	5
130	7
131	9
132	12
133	12
134	10
135	8
136	7
137	8
138	11
139	12
140	11
141	10
142	8
143	7
144	6
145	6
146	7
147	8
148	8
149	8
150	7
151	7
152	8
153	11
154	14
155	15
156	17
157	18
158	18
159	14
160	8
161	3
162	0
163	1
164	4
165	10
166	15
167	18
168	21
169	23
170	24
171	23
172	22
173	21
174	20
175	18
176	14
177	13
178	15
179	17
180	19
181	19
182	17
183	15
184	14
185	14
186	14
187	14
188	12
189	13
190	16
191	19
192	22
193	22
194	20
195	16
196	13
197	12
198	12
199	15
200	17
201	18
202	18
203	18
204	19
205	22
206	23
207	22
208	18
209	15
210	13
211	16
212	21
213	25
214	27
215	27
216	26
217	24
218	23
219	22
220	17
221	12
222	6
223	5
224	9
225	14
226	17
227	16
228	16
229	18
230	21
231	22
232	20
233	18
234	19
235	20
236	21
237	21
238	22
239	24
240	27
241	29
242	29
243	23
244	16
245	14
246	18
247	25
248	29
249	29
250	25
251	21
252	18
253	18
254	18
255	16
256	10
257	3
258	0
259	0
260	0
261	0
262	0
263	0
264	10
265	28
266	39
267	41
268	32
269	23
270	19
271	24
272	33
273	40
274	37
275	26
276	15
277	9
278	12
279	22
280	31
281	33
282	31
283	29
284	29
285	33
286	37
287	39
288	41
289	41
290	37
291	32
292	28
293	27
294	26
295	23
296	17
297	9
298	5
299	7
300	13
301	20
302	23
303	27
304	29
305	28
306	24
307	20
308	18
309	24
310	33
311	36
312	39
313	41
314	43
315	46
316	47
317	47
318	47
319	46
320	45
321	42
322	41
323	41
324	43
325	45
326	44
327	45
328	45
329	43
330	37
331	29
332	23
333	19
334	19
335	24
336	28
337	31
338	35
339	38
340	41
341	45
342	43
343	39
344	35
345	36
346	39
347	42
348	41
349	40
350	42
351	46
352	51
353	55
354	61
355	66
356	69
357	71
358	69
359	65
360	62
361	61
362	61
363	58
364	51
365	43
366	35
367	30
368	29
369	34
370	41
371	47
372	50
373	48
374	45
375	41
376	37
377	35
378	36
379	39
380	44
381	48
382	50
383	50
384	49
385	49
386	51
387	54
388	56
389	57
390	53
391	49
392	46
393	48
394	52
395	56
396	59
397	59
398	57
399	57
400	58
401	58
402	61
403	65
404	69
405	70
406	69
407	67
408	66
409	65
410	65
411	65
412	63
413	61
414	59
415	57
416	56
417	53
418	50
419	49
420	46
421	44
422	43
423	43
424	44
425	46
426	50
427	54
428	56
429	56
430	52
431	46
432	40
433	40
434	47
435	55
436	60
437	61
438	61
439	62
440	65
441	69
442	73
443	72
444	72
445	72
446	71
447	65
448	58
449	54
450	55
451	58
452	59
453	62
454	65
455	70
456	74
457	75
458	75
459	70
460	63
461	57
462	52
463	51
464	52
465	53
466	56
467	58
468	61
469	62
470	63
471	61
472	57
473	54
474	55
475	56
476	54
477	51
478	50
479	52
480	57
481	64
482	71
483	77
484	80
485	80
486	78
487	74
488	73
489	74
490	77
491	82
492	87
493	89
494	88
495	87
496	84
497	83
498	82
499	82
500	83
501	85
502	87
503	88
504	83
505	78
506	76
507	74
508	73
509	72
510	72
511	71
512	69
513	68
514	68
515	68
516	69
517	70
518	70
519	63
520	50
521	37
522	19
523	9
524	11
525	22
526	38
527	48
528	55
529	61
530	69
531	80
532	86
533	84
